Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Cl|RCH2-OH -> Ar-Ar|Ar-NO2|Ar-OR|Ar-R|Pyrimidine || Ar-Ar|Ar-NO2|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine","Ar-Ar,Ar-Cl,Ar-NO2,Pyrimidine|Ar-R,RCH2-OH",2.0,OCCc1ccccc1.O=[N+]([O-])c1ccc(-c2nnc3cncc(Cl)n23)cc1>>O=[N+]([O-])c1ccc(-c2nnc3c(OCCc4ccccc4)nccn23)cc1.O=[N+]([O-])c1ccc(-c2nnc3cncc(OCCc4ccccc4)n23)cc1,18C6,,KOH,PhMe,,,,-1.1544491977911018
Ar-Br|RCH2-OH -> Ar-Ar|Ar-NO2|Ar-OR|AromN-H|Pyrimidine || Ar-Ar|Ar-NO2|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Ar,Ar-Br,Ar-NO2,Pyrimidine","Ar-Ar,Ar-Br,Ar-NO2,Pyrimidine|Ar-R,RCH2-OH",77.0,OCCc1ccccc1.O=[N+]([O-])c1ccccc1-c1nnc2cncc(Br)n12>>O=[N+]([O-])c1ccccc1-c1nnc2cncc(OCCc3ccccc3)n12.O=c1[nH]ccn2c(-c3ccccc3[N+](=O)[O-])nnc12,18C6,,KOH,PhMe,,,,0.0
Ar-Cl|RCH2-OH -> Ar-Ar|Ar-OR|Ar-R|Pyrimidine || Ar-Ar|Ar-R|Pyrimidine,False,"Ar-R,RCH2-OH","Ar-Ar,Ar-R,Ar-Cl,Pyrimidine","Ar-Ar,Ar-R,Ar-Cl,Pyrimidine|Ar-R,RCH2-OH",82.0,OCCc1ccccc1.CC(C)(C)c1cc(-c2nnc3cncc(Cl)n23)cc(C(C)(C)C)c1>>CC(C)(C)c1cc(-c2nnc3cncc(OCCc4ccccc4)n23)cc(C(C)(C)C)c1.CC(C)(C)c1cc(-c2nnc3c(OCCc4ccccc4)nccn23)cc(C(C)(C)C)c1,18C6,,KOH,PhMe,,,,0.0
Ar-B(OH)2|Ar-Br|RCH2-OH -> Ar-Ar|Ar-OR|Pyridine || Pyridine,False,RCH2-OH,Ar-B(OH)2,Ar-B(OH)2|RCH2-OH,3.0,CO.OB(O)c1ccccc1.Brc1ccccn1>>c1ccncc1.c1ccc(-c2ccccn2)cc1.COc1ccccn1,Pd(OAc)2,2685837-28-7,KOH,MeOH / THF,,,,-0.7071067811865475
Ar-B(OH)2|Ar-Br|RCH2-OH -> Ar-Ar|Ar-OR || None,False,RCH2-OH,Ar-B(OH)2,Ar-B(OH)2|RCH2-OH,7.0,CO.OB(O)c1ccccc1.Brc1ccc2ccccc2c1>>c1ccc2ccccc2c1.COc1ccc2ccccc2c1.c1ccc(-c2ccc3ccccc3c2)cc1,Pd(OAc)2,2685837-28-7,KOH,MeOH / THF,,,,0.7071067811865475
Ar-Br -> Ar-CO2H|Ar-OH|Ar-OR|R-H-acidic|RCH2-CONHR || Ar-CO2H|Ar-OH|R-H-acidic|RCH2-CONHR,False,Ar-OH,"R-H-acidic,Ar-Br,Ar-CO2H,RCH2-CONHR","Ar-OH|R-H-acidic,Ar-Br,Ar-CO2H,RCH2-CONHR",6.0,Oc1cccc(O)c1.CC(=O)Nc1ccc(Br)c(C(=O)O)c1>>CC(=O)Nc1ccc(O)c(C(=O)O)c1.CC(=O)Nc1cccc(C(=O)O)c1.CC(=O)Nc1ccc2c(c1)c(=O)oc1cc(O)ccc12.CC(=O)Nc1ccc(Oc2cccc(O)c2)c(C(=O)O)c1,CuI,,Na2CO3 / NaOH,water,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",2.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,14547-73-0,Cs2CO3,MeCN,,,,-1.7561839363534137
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",2.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,90209-83-9,Cs2CO3,MeCN,,,,-1.7561839363534137
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-Cl,Ar-NO2","Ar-R,Ar-OH","Ar-Cl,Ar-NO2|Ar-R,Ar-OH",93.0,O=[N+]([O-])c1ccc(Cl)cc1.Cc1ccc(O)cc1>>Cc1ccc(Oc2ccccc2[N+](=O)[O-])cc1,Cu(0),,Potassium Fluoride,DMSO,,,,0.5692419144347889
Ar-I|Ar-OH -> Ar-OR || Ar-I,False,Ar-I,"Ar-I,Ar-OH","Ar-I|Ar-I,Ar-OH",70.0,Ic1ccc(I)cc1.Oc1cccc(I)c1>>Ic1cccc(Oc2cccc(I)c2)c1,CuI,Fe(acac)3,K2CO3,DMSO,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",2.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,879767-00-7,Cs2CO3,MeCN,,,,-1.7561839363534137
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",8.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,14547-72-9,Cs2CO3,MeCN,,,,-1.5829433546241602
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",2.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,796068-66-1,Cs2CO3,MeCN,,,,-1.7561839363534137
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",8.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,61350-00-3,Cs2CO3,MeCN,,,,-1.5829433546241602
Ar-I|Ar-OH -> Ar-Alkenyl|Ar-OR|R-C=C || Ar-OR|Ar-R|R-C=CH2,False,"Ar-R,Ar-OH,Ar-OR,R-C=CH2","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH,Ar-OR,R-C=CH2",90.0,C=CCc1ccc(O)c(OC)c1.COc1ccccc1I>>C=CCc1ccc(Oc2ccccc2OC)c(OC)c1.C/C=C/c1ccc(Oc2ccccc2OC)c(OC)c1.C/C=C\c1ccc(Oc2ccccc2OC)c(OC)c1,7758-89-6,,Cs2CO3,"1,4-Dioxane / NMP",,,,0.0
Ar-Br|Ar-OH|R-H-acidic -> Ar-OR|RCH2-Cl || Ar-COR|Ar-R|R-H-acidic,False,"Ar-R,Ar-OH","R-H-acidic,Ar-Br,Ar-COR","Ar-R,Ar-OH|R-H-acidic,Ar-Br,Ar-COR",72.0,Cc1ccc(O)c(C)c1.CC(=O)c1ccccc1Br>>Cc1ccc(Oc2ccccc2C(=O)CCl)c(C)c1,Cu(0),,KOH / NaOH,"1,4-Dioxane / EtOAc / water / CHCl3",,,,-1.6780517639903283
Ar-F|RCH2-OH -> Ar-NO2|Ar-OH|Ar-OR || Ar-NO2,False,RCH2-OH,"Ar-F,Ar-NO2","Ar-F,Ar-NO2|RCH2-OH",2.0,CCO.O=[N+]([O-])c1ccc(F)cc1>>O=[N+]([O-])c1ccc(O)cc1.CCOc1ccc([N+](=O)[O-])cc1,TBAB,,NaOH,108-83-8 / water,,,,-2.234753931562115
Alkenyl-CO2H|Ar-I -> Alkenyl-CO2R|Ar-Alkenyl|Ar-CF3|Ar-OH || Ar-Alkenyl|Ar-CF3,False,"Ar-Alkenyl,Alkenyl-CO2H","Ar-I,Ar-CF3","Ar-Alkenyl,Alkenyl-CO2H|Ar-I,Ar-CF3",6.0,O=C(O)/C=C/c1ccccc1.FC(F)(F)c1ccc(I)cc1>>Oc1ccc(C(F)(F)F)cc1.O=C(/C=C/c1ccccc1)Oc1ccc(C(F)(F)F)cc1.O=C(/C=C\c1ccccc1)Oc1ccc(C(F)(F)F)cc1,NiCl2,103946-54-9,,DMSO,,,,0.7071067811865476
Alkenyl-CO2H|Ar-I -> Alkenyl-CO2R|Ar-CF3|Ar-OH || Ar-Alkenyl|Ar-CF3,False,"Ar-Alkenyl,Alkenyl-CO2H","Ar-I,Ar-CF3","Ar-Alkenyl,Alkenyl-CO2H|Ar-I,Ar-CF3",3.0,O=C(O)/C=C/c1ccccc1.FC(F)(F)c1ccc(I)cc1>>Oc1ccc(C(F)(F)F)cc1.O=C(/C=C/c1ccccc1)Oc1ccc(C(F)(F)F)cc1,NiCl2,518-47-8,,DMSO,,,,-0.7071067811865476
Ar-I|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-CN","Ar-I,Ar-CN|Ar-R,Ar-OH",83.0,Cc1cc(C)cc(O)c1.N#Cc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(C#N)cc2)c1,7758-89-6,,Cs2CO3,PhMe,,,,-0.5380875241952098
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-OH,Ar-OR",100.0,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(F)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,111324-04-0,,,DMF,,,,0.9975135653932473
Ar-Cl|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-Cl","Ar-R,Ar-Cl|Ar-R,Ar-OH",92.0,Cc1ccccc1O.Cc1ccc(C)c(Cl)c1>>Cc1ccc(C)c(Oc2ccccc2C)c1,Pd(OAc)2,672937-62-1,K3PO4,PhMe,,,,0.3815296904992856
Ar-Cl|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-OR","Ar-Cl,Ar-OR|Ar-R,Ar-OH",78.0,Cc1ccc(O)c(C(C)(C)C)c1.COc1ccc(Cl)cc1>>COc1ccc(Oc2ccc(C)cc2C(C)(C)C)cc1,Pd(OAc)2,1072087-19-4,NaH,PhMe,,,,0.09809732813288262
Ar-Br|Ar-OH -> Ar-OR || Ar-F|Ar-NO2,False,"Ar-F,Ar-OH","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-F,Ar-OH",99.0,Oc1ccc(F)cc1.O=[N+]([O-])c1ccc(Br)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(F)cc2)cc1,CuBr,,Cs2CO3,DMF,,,,1.2388186036893034
Ar-I|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-CN","Ar-I,Ar-CN|Ar-R,Ar-OH",93.0,Cc1cc(C)cc(O)c1.N#Cc1ccc(I)cc1>>Cc1cc(C)cc(Oc2ccc(C#N)cc2)c1,Cu2O,284497-48-9,Cs2CO3,MeCN,,,,0.7468976082112613
Ar-Cl|Ar-OH -> Ar-OR || Ar-CHO|Ar-NO2,False,"Ar-Cl,Ar-NO2","Ar-CHO,Ar-OH","Ar-CHO,Ar-OH|Ar-Cl,Ar-NO2",80.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.O=Cc1ccc(O)cc1>>O=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,K2CO3,PEG-400,,DMF,,,,-0.3760619551912408
Ar-Br|Ar-OH -> Ar-OR || Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-OR","Ar-Br,Ar-OR|Ar-OH,Ar-OR",78.0,COc1ccc(O)cc1.COc1ccccc1Br>>COc1ccc(Oc2ccccc2OC)cc1,7758-89-6,2,Cs2CO3,NMP,,,,-0.7438411968141101
Ar-Br|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-Br","Ar-R,Ar-Br|Ar-R,Ar-OH",83.0,Cc1ccccc1O.Cc1ccc(Br)cc1>>Cc1ccc(Oc2ccccc2C)cc1,391684-10-9,,Cs2CO3,PhMe,,,,0.21072078747655246
Ar-F|Ar-OH -> Ar-OR || Ar-F|Ar-R,False,"Ar-R,Ar-OH",Ar-F,"Ar-F|Ar-R,Ar-OH",87.0,Cc1ccc(O)cc1.Fc1cc(F)c(F)c(F)c1F>>Cc1ccc(Oc2c(F)c(F)cc(F)c2F)cc1,Pd(OAc)2,,K2CO3,DMF,,,,0.3579064057203616
Ar-Cl|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|Ar-R,Ar-OH",99.0,Cc1ccccc1O.N#Cc1ccc(Cl)cc1>>Cc1ccccc1Oc1ccc(C#N)cc1,Pd(OAc)2,cataCXium PIntB,K3PO4,PhMe,,,,1.5474501070518356
Ar-Br|Ar-OH -> Ar-OR || Ar-CN|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-CN","Ar-Br,Ar-CN|Ar-OH,Ar-OR",93.0,COc1ccc(O)cc1.N#Cc1ccc(Br)cc1>>COc1ccc(Oc2ccc(C#N)cc2)cc1,12018-79-0,2,Cs2CO3,NMP,,,,0.5787750354395168
Ar-Br|Ar-F|Ar-NH2|Ar-OH -> Ar-CONHR|Ar-LactamN|Ar-OR || Ar-F,False,"Ar-Br,Ar-F","Ar-F,Ar-NH2,Ar-OH","Ar-Br,Ar-F|Ar-F,Ar-NH2,Ar-OH",85.0,Fc1ccc(F)c(Br)c1.Nc1cc(F)ccc1O.[C-]#[O+]>>O=C1Nc2cc(F)ccc2Oc2ccc(F)cc21,Pd(OAc)2,cataCXium A,DBU,DMSO,,,,0.7071067811865476
Ar-Br|Ar-OH -> Ar-OR || Ar-CO2R|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-CO2R","Ar-Br,Ar-CO2R|Ar-OH,Ar-OR",90.0,COc1ccc(O)cc1.COC(=O)c1ccc(Br)cc1>>COC(=O)c1ccc(Oc2ccc(OC)cc2)cc1,26042-64-8,1292836-30-6,Cs2CO3,PhMe / Et3N,,,,1.1121184234886123
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|R-H-acidic|RCH2-CONHR,False,"Ar-Cl,Ar-NO2","R-H-acidic,Ar-OH,RCH2-CONHR","Ar-Cl,Ar-NO2|R-H-acidic,Ar-OH,RCH2-CONHR",95.0,O=[N+]([O-])c1ccccc1Cl.CC(=O)Nc1ccc(O)cc1>>CC(=O)Nc1ccc(Oc2ccccc2[N+](=O)[O-])cc1,CuI,83821-60-7,Cs2CO3,DMF,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-Cl|Ar-OR,False,"Ar-Cl,Ar-Br","Ar-OH,Ar-OR","Ar-Cl,Ar-Br|Ar-OH,Ar-OR",92.0,Clc1ccc(Br)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(Cl)cc2)cc1,CuI,Fe(acac)3,K2CO3,DMF,,,,0.4949138512636056
Ar-Br|Ar-OH -> Ar-OR || Ar-R|R-CONHR|R-F,False,"Ar-R,Ar-OH","Ar-R,Ar-Br,R-F,R-CONHR","Ar-R,Ar-Br,R-F,R-CONHR|Ar-R,Ar-OH",76.0,Cc1ccccc1O.CCc1ccc(NC(=O)C(F)(F)F)c(Br)c1>>CCc1ccc(NC(=O)C(F)(F)F)c(Oc2ccccc2C)c1,CuI,N,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-F|Ar-OH -> Ar-OR || Ar-Br|Ar-CO2R|Ar-OR|Bn-OR,False,"Ar-Br,Ar-F,Ar-CO2R","Ar-OH,Ar-OR,Bn-OR","Ar-Br,Ar-F,Ar-CO2R|Ar-OH,Ar-OR,Bn-OR",94.0,CCOC(=O)c1ccc(F)c(Br)c1.COc1ccc(O)cc1OCc1ccccc1>>CCOC(=O)c1ccc(Oc2ccc(OC)c(OCc3ccccc3)c2)c(Br)c1,111324-04-0,,,DMF,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-I","Ar-R,Ar-I|Ar-R,Ar-OH",85.0,Cc1cc(C)cc(O)c1.Cc1ccccc1I>>Cc1cc(C)cc(Oc2ccccc2C)c1,7758-89-6,,Cs2CO3,PhMe,,,,0.2447532598107684
Ar-Br|Ar-OH -> Ar-OR || Ar-R|R-CONHR|R-F|R-H-acidic|R2CH-CO2R|R2CH-NHR|R3C-NHR,False,"Ar-Br,R-F,R-CONHR","R-H-acidic,Ar-R,Ar-OH,R2CH-NHR,R3C-NHR,R2CH-CO2R","Ar-Br,R-F,R-CONHR|R-H-acidic,Ar-R,Ar-OH,R2CH-NHR,R3C-NHR,R2CH-CO2R",88.0,O=C(Nc1ccccc1Br)C(F)(F)F.COC(=O)[C@H](Cc1ccc(O)cc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1>>COC(=O)[C@H](Cc1ccc(Oc2ccccc2NC(=O)C(F)(F)F)cc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1,CuI,N,Cs2CO3,"1,4-Dioxane",,,,0.7071067811865476
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-I","Ar-R,Ar-OH,Ar-OR","Ar-R,Ar-I|Ar-R,Ar-OH,Ar-OR",75.0,Cc1ccccc1I.Cc1cccc(Oc2ccc(O)cc2C)c1>>Cc1cccc(Oc2ccc(Oc3ccccc3C)cc2C)c1,CuI,,K3PO4,DMSO,,,,-0.7071067811865475
Ar-Br|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-Br","Ar-R,Ar-Br|Ar-R,Ar-OH",76.0,Cc1ccccc1O.Cc1ccc(Br)cc1>>Cc1ccc(Oc2ccccc2C)cc1,Cu(OTf)2,4488-22-6,Cs2CO3,"1,4-Dioxane",,,,-0.18593010659695805
Ar-F|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-F,Ar-NO2","Ar-F,Ar-NO2|Ar-R,Ar-OH",95.0,Cc1ccc(O)cc1.O=[N+]([O-])c1ccc(F)cc1>>Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,CsF,,,DMSO,,,,1.0333333333333319
Ar-Cl|Ar-OH -> Ar-OR || Ar-COR|Ar-OR|R-H-acidic,False,"Ar-OH,Ar-OR","R-H-acidic,Ar-Cl,Ar-COR","Ar-OH,Ar-OR|R-H-acidic,Ar-Cl,Ar-COR",95.0,COc1ccc(O)cc1.CC(=O)c1ccc(Cl)cc1>>COc1ccc(Oc2ccc(C(C)=O)cc2)cc1,Pd(OAc)2,1072087-21-8,NaH,PhMe,,,,0.8748177652797064
Ar-I|Ar-OH -> Ar-OR || Ar-Cl|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-I","Ar-Cl,Ar-I|Ar-R,Ar-OH",93.0,Cc1ccc(O)cc1.Clc1ccc(I)cc1>>Cc1ccc(Oc2ccc(Cl)cc2)cc1,CuI,465516-40-9,K3PO4,"1,4-Dioxane",,,,1.004132481887077
Ar-I|Ar-OH -> Ar-OR || Ar-F|Ar-NH2|Ar-R,False,"Ar-I,Ar-F","Ar-R,Ar-NH2,Ar-OH","Ar-I,Ar-F|Ar-R,Ar-NH2,Ar-OH",84.0,Fc1ccc(I)cc1.Cc1ccc(N)cc1O>>Cc1ccc(N)cc1Oc1ccc(F)cc1,CuI,98-98-6,K3PO4,DMSO,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-Cl|Ar-F|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Cl,Ar-I,Ar-F","Ar-Cl,Ar-I,Ar-F|Ar-OH,Ar-OR",88.0,COc1cccc(O)c1.Fc1cc(I)ccc1Cl>>COc1cccc(Oc2ccc(Cl)c(F)c2)c1,CuBr,1655-07-8,Cs2CO3,DMSO,,,,0.0
Ar-I|Ar-OH -> Ar-OR || Ar-R,False,"Ar-R,Ar-OH","Ar-R,Ar-I","Ar-R,Ar-I|Ar-R,Ar-OH",85.0,Cc1ccc(O)cc1.Cc1ccc(I)cc1>>Cc1ccc(Oc2ccc(C)cc2)cc1,492-98-8,7447-39-4,Cs2CO3,DMF,,,,0.2447532598107684
Ar-I|Ar-OH -> Ar-OR || Ar-Cl|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-I","Ar-Cl,Ar-I|Ar-R,Ar-OH",85.0,CC(C)(C)c1ccc(O)cc1.Clc1ccc(I)cc1>>CC(C)(C)c1ccc(Oc2ccc(Cl)cc2)cc1,CuI,1257520-01-6,Cs2CO3,DME,,,,-0.08008418567197584
Ar-Br|Ar-OH -> Ar-OR || Ar-Cl|Ar-OR,False,"Ar-Cl,Ar-Br","Ar-OH,Ar-OR","Ar-Cl,Ar-Br|Ar-OH,Ar-OR",72.0,Clc1ccc(Br)cc1.COc1ccc(O)cc1>>COc1ccc(Oc2ccc(Cl)cc2)cc1,12018-79-0,2,Cs2CO3,NMP,,,,-2.0323058147633133
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-R,False,"Ar-R,Ar-OH","Ar-Cl,Ar-NO2","Ar-Cl,Ar-NO2|Ar-R,Ar-OH",99.0,CC(C)(C)c1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)cc1>>CC(C)(C)c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,CuO,1309878-83-8,K3PO4,"1,4-Dioxane",,,,1.3769500362679354
Ar-I|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-I,Ar-NO2","Ar-I,Ar-NO2|Ar-OH,Ar-OR",71.0,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(I)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,CuI,83821-60-7,Cs2CO3,DMF,,,,-3.254637017555253
Ar-Cl|Ar-OH -> Ar-OR || Ar-COR|Ar-R|R-H-acidic,False,"Ar-R,Ar-OH","R-H-acidic,Ar-R,Ar-Cl,Ar-COR","Ar-R,Ar-OH|R-H-acidic,Ar-R,Ar-Cl,Ar-COR",82.0,CCc1ccc(O)cc1.CC(=O)c1c(C)cc(Cl)cc1C>>CCc1ccc(Oc2cc(C)c(C(C)=O)c(C)c2)cc1,Pd(OAc)2,tBuXPhos,K3PO4,PhMe,,,,-0.7071067811865475
Ar-Cl|Ar-OH -> Ar-OR || Ar-COR|Ar-Cl|R-H-acidic,False,"Ar-Cl,Ar-OH","R-H-acidic,Ar-Cl,Ar-COR","Ar-Cl,Ar-OH|R-H-acidic,Ar-Cl,Ar-COR",94.0,Oc1ccc(Cl)cc1.CC(=O)c1ccc(Cl)cc1Cl>>CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,CuO,,K2CO3,Xylenes,water,,,1.3745769834418413
Ar-Br|Ar-OH -> Ar-OR || Ar-CN|Ar-R,False,"Ar-R,Ar-OH","Ar-Br,Ar-CN","Ar-Br,Ar-CN|Ar-R,Ar-OH",70.0,CCc1ccc(O)cc1.N#Cc1ccc(Br)cc1>>CCc1ccc(Oc2ccc(C#N)cc2)cc1,26042-64-8,1292836-30-6,Cs2CO3,PhMe / Et3N,,,,-2.1462580543048166
Ar-F|Ar-OH -> Ar-OR || Ar-Br|Ar-NO2,False,"Ar-Br,Ar-OH","Ar-F,Ar-NO2","Ar-Br,Ar-OH|Ar-F,Ar-NO2",94.0,Oc1ccc(Br)cc1.O=[N+]([O-])c1ccc(F)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(Br)cc2)cc1,Potassium Fluoride,,,DMSO,,,,0.5653009971610737
Ar-Br|Ar-OH -> Ar-OR || Ar-R|Ar-SR,False,"Ar-R,Ar-OH","Ar-Br,Ar-SR","Ar-Br,Ar-SR|Ar-R,Ar-OH",89.0,CC(C)(C)c1ccc(O)cc1.CSc1ccc(Br)cc1>>CSc1ccc(Oc2ccc(C(C)(C)C)cc2)cc1,Cu(0),phen,Cs2CO3,"1,4-Dioxane",,,,1.02469507659596
Ar-Br|Ar-OH -> Ar-OR || Ar-CO2R|Ar-R|Bn-OR,False,"Ar-OH,Bn-OR","Ar-R,Ar-Br,Ar-CO2R","Ar-OH,Bn-OR|Ar-R,Ar-Br,Ar-CO2R",77.0,Oc1ccccc1OCc1ccccc1.COC(=O)c1cccc(C(=O)OCc2ccccc2)c1Br>>COC(=O)c1cccc(C(=O)OCc2ccccc2)c1Oc1ccccc1OCc1ccccc1,CuO,,K2CO3,Py,,,,0.0
Ar-Br|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Br,Ar-NO2","Ar-Br,Ar-NO2|Ar-OH,Ar-OR",92.0,COc1cccc(OC)c1O.O=[N+]([O-])c1ccc(Br)cc1>>COc1cccc(OC)c1Oc1ccc([N+](=O)[O-])cc1,658062-48-7,,K2CO3,DMAc,,,,0.5404024726881109
Ar-Br|Ar-OH -> Ar-OR || Ar-COR|Ar-Cl|R-H-acidic,False,"R-H-acidic,Ar-Br,Ar-COR","Ar-Cl,Ar-OH","Ar-Cl,Ar-OH|R-H-acidic,Ar-Br,Ar-COR",86.0,CC(=O)c1ccc(Br)cc1.Oc1ccc(Cl)cc1>>CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,7758-89-6,17106-94-4,K3PO4,MeCN,,,,0.5319813511808078
Ar-Cl|Ar-OH -> Ar-OR || Ar-NO2|Ar-OR,False,"Ar-NO2,Ar-OH","Ar-Cl,Ar-OR","Ar-Cl,Ar-OR|Ar-NO2,Ar-OH",82.0,O=[N+]([O-])c1ccc(O)cc1.COc1ccc(Cl)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,Pd(OAc)2,1072087-20-7,NaH,PhMe,,,,0.7258661863112963
Ar-F|Ar-OH -> Ar-OR || Ar-Cl|Ar-F,False,"Ar-Cl,Ar-OH",Ar-F,"Ar-Cl,Ar-OH|Ar-F",80.0,Oc1ccc(Cl)cc1.Fc1cc(F)c(F)c(F)c1F>>Fc1cc(F)c(F)c(Oc2ccc(Cl)cc2)c1F,Pd(OAc)2,,K2CO3,DMF,,,,0.0
Ar-F|Ar-OH -> Ar-OR || Ar-CN|Ar-OR,False,"Ar-OH,Ar-OR","Ar-F,Ar-CN","Ar-F,Ar-CN|Ar-OH,Ar-OR",92.0,COc1ccc(O)cc1.N#Cc1ccc(F)cc1>>COc1ccc(Oc2ccc(C#N)cc2)cc1,CsF,,,DMSO,,,,-0.05378948988811131
