reaction_type,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,reaction_smiles,smiles,reactant_smiles,product_smiles,reaction_key,reactant_types_key,product_type,reactant_a_all_motifs,reactant_b_all_motifs,all_reactant_motifs,all_product_motifs,reacted_motifs,formed_motifs,spectator_motifs,is_intramolecular,coupling_reagent,secondary_solvent,catalytic_system,condition_core,raw_reagents,raw_solvents
Any-CHO|RCH2-OR -> R2CH-COR || Alkyl-OR|Any-COR|Any-OR|Ar-COR|Ar-OR|CH3-OR|R2CH-OR|RCH2-OR,82,-1.1338934190276817,RCH2-OR,Any-CHO,p-TsOH,,NaHCO3,DCM / water,,CCOC(OCC)OCC.COc1ccc(C(=O)C=O)cc1OC>>CCOC(OCC)C(=O)c1ccc(OC)c(OC)c1,CCOC(OCC)OCC.COc1ccc(C(=O)C=O)cc1OC>>CCOC(OCC)C(=O)c1ccc(OC)c(OC)c1,CCOC(OCC)OCC.COc1ccc(C(=O)C=O)cc1OC,CCOC(OCC)C(=O)c1ccc(OC)c(OC)c1,Any-CHO|RCH2-OR -> R2CH-COR || Alkyl-OR|Any-COR|Any-OR|Ar-COR|Ar-OR|CH3-OR|R2CH-OR|RCH2-OR,Any-CHO|RCH2-OR,"Ar-COR,R2CH-COR,Alkyl-COR,Any-COR,Ar-OR,CH3-OR,Alkyl-OR,Any-OR,Alkyl-H-acidic,RCH2-OR,R2CH-OR","RCH2-OR,R2CH-OR","Ar-COR,Any-COR,Ar-OR,CH3-OR,Alkyl-OR,Any-OR,Any-CHO",Alkyl-OR|Any-CHO|Any-COR|Any-OR|Ar-COR|Ar-OR|CH3-OR|R2CH-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|Alkyl-OR|Any-COR|Any-OR|Ar-COR|Ar-OR|CH3-OR|R2CH-COR|R2CH-OR|RCH2-OR,Any-CHO|R2CH-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|R2CH-COR,Alkyl-OR|Any-COR|Any-OR|Ar-COR|Ar-OR|CH3-OR|R2CH-OR|RCH2-OR,False,,,p-TsOH,NaHCO3,"[{""name"": ""NaHCO3"", ""cas"": ""144-55-8"", ""role"": ""BASE""}]","[{""name"": ""DCM"", ""cas"": ""75-09-2""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Any-CHO|RCH2-OR -> R2CH-COR || Any-COR|Any-X|Ar-Br|Ar-COR|Ar-X|R2CH-OR|RCH2-OR,84,0.0,RCH2-OR,Any-CHO,p-TsOH,,NaHCO3,DCM / water,,CCOC(OCC)OCC.O=CC(=O)c1ccc(Br)cc1>>CCOC(OCC)C(=O)c1ccc(Br)cc1,CCOC(OCC)OCC.O=CC(=O)c1ccc(Br)cc1>>CCOC(OCC)C(=O)c1ccc(Br)cc1,CCOC(OCC)OCC.O=CC(=O)c1ccc(Br)cc1,CCOC(OCC)C(=O)c1ccc(Br)cc1,Any-CHO|RCH2-OR -> R2CH-COR || Any-COR|Any-X|Ar-Br|Ar-COR|Ar-X|R2CH-OR|RCH2-OR,Any-CHO|RCH2-OR,"Ar-COR,R2CH-COR,Alkyl-COR,Any-COR,Ar-Br,Ar-X,Any-X,Alkyl-H-acidic,RCH2-OR,R2CH-OR","RCH2-OR,R2CH-OR","Ar-COR,Any-COR,Ar-Br,Ar-X,Any-X,Any-CHO",Any-CHO|Any-COR|Any-X|Ar-Br|Ar-COR|Ar-X|R2CH-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|Any-COR|Any-X|Ar-Br|Ar-COR|Ar-X|R2CH-COR|R2CH-OR|RCH2-OR,Any-CHO|R2CH-OR|RCH2-OR,Alkyl-COR|Alkyl-H-acidic|R2CH-COR,Any-COR|Any-X|Ar-Br|Ar-COR|Ar-X|R2CH-OR|RCH2-OR,False,,,p-TsOH,NaHCO3,"[{""name"": ""NaHCO3"", ""cas"": ""144-55-8"", ""role"": ""BASE""}]","[{""name"": ""DCM"", ""cas"": ""75-09-2""}, {""name"": ""water"", ""cas"": ""7732-18-5""}]"
Ar-CHO|CH3-OH -> Ar-R || Alkyl-OR|Any-NR2|Any-OR|Ar-NR2|RCH2-NR2|RCH2-OR,98,0.0,CH3-OH,Ar-CHO,p-TsOH,,,MeOH,,CO.O=Cc1ccc(N2CCOCC2)cc1>>COC(OC)c1ccc(N2CCOCC2)cc1,CO.O=Cc1ccc(N2CCOCC2)cc1>>COC(OC)c1ccc(N2CCOCC2)cc1,CO.O=Cc1ccc(N2CCOCC2)cc1,COC(OC)c1ccc(N2CCOCC2)cc1,Ar-CHO|CH3-OH -> Ar-R || Alkyl-OR|Any-NR2|Any-OR|Ar-NR2|RCH2-NR2|RCH2-OR,Ar-CHO|CH3-OH,"Ar-NR2,RCH2-NR2,Any-NR2,Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR,RCH2-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-NR2,RCH2-NR2,Any-NR2,RCH2-OR,Alkyl-OR,Any-OR",Alkyl-OH|Alkyl-OR|Any-CHO|Any-NR2|Any-OH|Any-OR|Ar-CHO|Ar-NR2|CH3-OH|H-OR|RCH2-NR2|RCH2-OR,Alkyl-OR|Any-NR2|Any-OR|Ar-NR2|Ar-R|CH3-OR|R2CH-OR|RCH2-NR2|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-OR|Any-NR2|Any-OR|Ar-NR2|RCH2-NR2|RCH2-OR,False,,,p-TsOH,,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|CH3-OH -> Alkyl-OR || Alkyl-OR|Any-OR|Ar-OR|RCH2-OR,95,0.48177993823771703,CH3-OH,Ar-CHO,p-TsOH,,,MeOH,,CO.O=Cc1ccc2c(c1)OCCO2>>COC(OC)c1ccc2c(c1)OCCO2,CO.O=Cc1ccc2c(c1)OCCO2>>COC(OC)c1ccc2c(c1)OCCO2,CO.O=Cc1ccc2c(c1)OCCO2,COC(OC)c1ccc2c(c1)OCCO2,Ar-CHO|CH3-OH -> Alkyl-OR || Alkyl-OR|Any-OR|Ar-OR|RCH2-OR,Ar-CHO|CH3-OH,"Ar-OR,RCH2-OR,Alkyl-OR,Any-OR,Ar-R,R2CH-OR,CH3-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-OR,RCH2-OR,Alkyl-OR,Any-OR",Alkyl-OH|Alkyl-OR|Any-CHO|Any-OH|Any-OR|Ar-CHO|Ar-OR|CH3-OH|H-OR|RCH2-OR,Alkyl-OR|Any-OR|Ar-OR|Ar-R|CH3-OR|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Alkyl-OR|Any-OR|Ar-OR|RCH2-OR,False,,,p-TsOH,,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|CH3-OH -> Ar-R || Ar-R|Thiophene,96,0.0,CH3-OH,Ar-CHO,p-TsOH,,,MeOH,,CO.Cc1ccc(C=O)s1>>COC(OC)c1ccc(C)s1,CO.Cc1ccc(C=O)s1>>COC(OC)c1ccc(C)s1,CO.Cc1ccc(C=O)s1,COC(OC)c1ccc(C)s1,Ar-CHO|CH3-OH -> Ar-R || Ar-R|Thiophene,Ar-CHO|CH3-OH,"Ar-R,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR,Thiophene","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-R,Thiophene",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Ar-R|CH3-OH|H-OR|Thiophene,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR|Thiophene,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Ar-R|Thiophene,False,,,p-TsOH,,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|CH3-OH -> Ar-R || Ar-Ar,94,0.9401021481358637,Ar-CHO,CH3-OH,p-TsOH,,,MeOH,,O=Cc1ccc(-c2ccc(C=O)cc2)cc1.CO>>COC(OC)c1ccc(-c2ccc(C(OC)OC)cc2)cc1,O=Cc1ccc(-c2ccc(C=O)cc2)cc1.CO>>COC(OC)c1ccc(-c2ccc(C(OC)OC)cc2)cc1,O=Cc1ccc(-c2ccc(C=O)cc2)cc1.CO,COC(OC)c1ccc(-c2ccc(C(OC)OC)cc2)cc1,Ar-CHO|CH3-OH -> Ar-R || Ar-Ar,Ar-CHO|CH3-OH,"Ar-R,Ar-Ar,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","Ar-CHO,Any-CHO,Ar-Ar","CH3-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-Ar|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-Ar|Ar-R|CH3-OR|R2CH-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Ar-Ar,False,,,p-TsOH,,"[{""name"": ""149-73-5"", ""cas"": ""149-73-5"", ""role"": ""UNK""}]","[{""name"": ""MeOH"", ""cas"": ""67-56-1""}]"
Ar-CHO|R2CH-OH -> Ar-OR || Alkyl-OR|Any-OH|Any-OR|Ar-OH|Ar-OR|CH3-OR|H-OR,91,0.0,Ar-CHO,R2CH-OH,p-TsOH,,,DMF / PhMe,,COc1cc(C=O)ccc1O.OC[C@@H](O)[C@@H](O)CO>>COc1cc(C2OC[C@H]3OC(c4ccc(O)c(OC)c4)OC[C@@H]3O2)ccc1O,COc1cc(C=O)ccc1O.OC[C@@H](O)[C@@H](O)CO>>COc1cc(C2OC[C@H]3OC(c4ccc(O)c(OC)c4)OC[C@@H]3O2)ccc1O,COc1cc(C=O)ccc1O.OC[C@@H](O)[C@@H](O)CO,COc1cc(C2OC[C@H]3OC(c4ccc(O)c(OC)c4)OC[C@@H]3O2)ccc1O,Ar-CHO|R2CH-OH -> Ar-OR || Alkyl-OR|Any-OH|Any-OR|Ar-OH|Ar-OR|CH3-OR|H-OR,Ar-CHO|R2CH-OH,"Ar-OR,CH3-OR,Alkyl-OR,Any-OR,Ar-OH,Any-OH,H-OR,Ar-R,R2CH-OR,RCH2-OR","Ar-CHO,Any-CHO,Ar-OR,CH3-OR,Alkyl-OR,Any-OR,Ar-OH,Any-OH,H-OR","R2CH-OH,Alkyl-OH,Any-OH,H-OR,RCH2-OH",Alkyl-OH|Alkyl-OR|Any-CHO|Any-OH|Any-OR|Ar-CHO|Ar-OH|Ar-OR|CH3-OR|H-OR|R2CH-OH|RCH2-OH,Alkyl-OR|Any-OH|Any-OR|Ar-OH|Ar-OR|Ar-R|CH3-OR|H-OR|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|R2CH-OH|RCH2-OH,Alkyl-OR|Any-OR|Ar-OH|Ar-OR|Ar-R|CH3-OR|R2CH-OR|RCH2-OR,Alkyl-OR|Any-OH|Any-OR|Ar-OH|Ar-OR|CH3-OR|H-OR,False,,,p-TsOH,,[],"[{""name"": ""DMF"", ""cas"": ""68-12-2""}, {""name"": ""PhMe"", ""cas"": ""108-88-3""}]"
Ar-CHO|CH3-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,85,-1.206247425902543,CH3-OH,Ar-CHO,13463-67-7,,,,,CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,CO.O=Cc1ccc(Cl)cc1,COC(OC)c1ccc(Cl)cc1,Ar-CHO|CH3-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,Ar-CHO|CH3-OH,"Ar-R,Ar-Cl,Ar-X,Any-X,R2CH-OR,CH3-OR,Alkyl-OR,Any-OR","CH3-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-Cl,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-CHO|Ar-Cl|Ar-X|CH3-OH|H-OR,Alkyl-OR|Any-OR|Any-X|Ar-Cl|Ar-R|Ar-X|CH3-OR|R2CH-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|CH3-OH|H-OR,Alkyl-OR|Any-OR|Ar-R|CH3-OR|R2CH-OR,Any-X|Ar-Cl|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,87,-0.7793858969945917,RCH2-OH,Ar-CHO,13463-67-7,,,,,CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1,CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1,CCO.O=Cc1ccc(Cl)cc1,CCOC(OCC)c1ccc(Cl)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Cl,Ar-X,Any-X,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-Cl,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-CHO|Ar-Cl|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Cl|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Cl|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,93,0.3059811299312094,Ar-CHO,RCH2-OH,13463-67-7,,,,,O=Cc1ccc(Cl)cc1.OCCO>>Clc1ccc(C2OCCO2)cc1,O=Cc1ccc(Cl)cc1.OCCO>>Clc1ccc(C2OCCO2)cc1,O=Cc1ccc(Cl)cc1.OCCO,Clc1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Cl|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Cl,Ar-X,Any-X,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO,Ar-Cl,Ar-X,Any-X","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-CHO|Ar-Cl|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Cl|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Cl|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-I|Ar-X,96,0.7071067811865475,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.O=Cc1ccc(I)cc1>>Ic1ccc(C2OCCO2)cc1,OCCO.O=Cc1ccc(I)cc1>>Ic1ccc(C2OCCO2)cc1,OCCO.O=Cc1ccc(I)cc1,Ic1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-I|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-I,Ar-X,Any-X,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-I,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-CHO|Ar-I|Ar-X|H-OR|RCH2-OH,Any-X|Ar-I|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-I|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,96,0.9120426630107684,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.O=Cc1ccc(Br)cc1>>Brc1ccc(C2OCCO2)cc1,OCCO.O=Cc1ccc(Br)cc1>>Brc1ccc(C2OCCO2)cc1,OCCO.O=Cc1ccc(Br)cc1,Brc1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Br,Ar-X,Any-X,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-Br,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-Br|Ar-CHO|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Br|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Br|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,94,0.5790747066735038,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.O=Cc1cccc(Br)c1>>Brc1cccc(C2OCCO2)c1,OCCO.O=Cc1cccc(Br)c1>>Brc1cccc(C2OCCO2)c1,OCCO.O=Cc1cccc(Br)c1,Brc1cccc(C2OCCO2)c1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Br,Ar-X,Any-X,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-Br,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-Br|Ar-CHO|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Br|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Br|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,96,0.9120426630107684,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.O=Cc1ccccc1Br>>Brc1ccccc1C1OCCO1,OCCO.O=Cc1ccccc1Br>>Brc1ccccc1C1OCCO1,OCCO.O=Cc1ccccc1Br,Brc1ccccc1C1OCCO1,Ar-CHO|RCH2-OH -> Ar-R || Any-X|Ar-Br|Ar-X,Ar-CHO|RCH2-OH,"Ar-R,Ar-Br,Ar-X,Any-X,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-Br,Ar-X,Any-X",Alkyl-OH|Any-CHO|Any-OH|Any-X|Ar-Br|Ar-CHO|Ar-X|H-OR|RCH2-OH,Any-X|Ar-Br|Ar-R|Ar-X|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Any-X|Ar-Br|Ar-X,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || None,96,0.6946891772758225,Ar-CHO,RCH2-OH,13463-67-7,,,,,O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1,O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1,O=Cc1ccccc1.OCCO,c1ccc(C2OCCO2)cc1,Ar-CHO|RCH2-OH -> Ar-R || None,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,None,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Alkyl-OR|Any-OR|Ar-OR|CH3-OR,81,-1.721764971343738,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.COc1ccccc1C=O>>COc1ccccc1C1OCCO1,OCCO.COc1ccccc1C=O>>COc1ccccc1C1OCCO1,OCCO.COc1ccccc1C=O,COc1ccccc1C1OCCO1,Ar-CHO|RCH2-OH -> Ar-R || Alkyl-OR|Any-OR|Ar-OR|CH3-OR,Ar-CHO|RCH2-OH,"Ar-OR,CH3-OR,Alkyl-OR,Any-OR,Ar-R,RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Ar-OR,CH3-OR,Alkyl-OR,Any-OR",Alkyl-OH|Alkyl-OR|Any-CHO|Any-OH|Any-OR|Ar-CHO|Ar-OR|CH3-OR|H-OR|RCH2-OH,Alkyl-OR|Any-OR|Ar-OR|Ar-R|CH3-OR|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OR|Any-OR|Ar-OR|CH3-OR,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || None,94,0.32192913093269887,Ar-CHO,RCH2-OH,13463-67-7,,,,,O=Cc1cccc2ccccc12.OCCO>>c1ccc2c(C3OCCO3)cccc2c1,O=Cc1cccc2ccccc12.OCCO>>c1ccc2c(C3OCCO3)cccc2c1,O=Cc1cccc2ccccc12.OCCO,c1ccc2c(C3OCCO3)cccc2c1,Ar-CHO|RCH2-OH -> Ar-R || None,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR","Ar-CHO,Any-CHO","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,None,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
Ar-CHO|RCH2-OH -> Ar-R || Benzofuran,92,0.0,RCH2-OH,Ar-CHO,13463-67-7,,,,,OCCO.O=Cc1cc2ccccc2o1>>c1ccc2oc(C3OCCO3)cc2c1,OCCO.O=Cc1cc2ccccc2o1>>c1ccc2oc(C3OCCO3)cc2c1,OCCO.O=Cc1cc2ccccc2o1,c1ccc2oc(C3OCCO3)cc2c1,Ar-CHO|RCH2-OH -> Ar-R || Benzofuran,Ar-CHO|RCH2-OH,"Ar-R,RCH2-OR,R2CH-OR,Benzofuran","RCH2-OH,Alkyl-OH,Any-OH,H-OR","Ar-CHO,Any-CHO,Benzofuran",Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|Benzofuran|H-OR|RCH2-OH,Ar-R|Benzofuran|R2CH-OR|RCH2-OR,Alkyl-OH|Any-CHO|Any-OH|Ar-CHO|H-OR|RCH2-OH,Ar-R|R2CH-OR|RCH2-OR,Benzofuran,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
RCH2-CHO|RCH2-OH -> RCH2-OR || None,87,-0.8053159989779439,RCH2-OH,RCH2-CHO,13463-67-7,,,,,OCCO.CCCCCCC=O>>CCCCCCC1OCCO1,OCCO.CCCCCCC=O>>CCCCCCC1OCCO1,OCCO.CCCCCCC=O,CCCCCCC1OCCO1,RCH2-CHO|RCH2-OH -> RCH2-OR || None,RCH2-CHO|RCH2-OH,"RCH2-OR,R2CH-OR","RCH2-OH,Alkyl-OH,Any-OH,H-OR","RCH2-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic",Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|RCH2-CHO|RCH2-OH,R2CH-OR|RCH2-OR,None,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
R2CH-CHO|RCH2-OH -> RCH2-OR || Alkyl-C=C|Any-C=C|Any-Dienophile|Cyclohexene|H-Alkenyl|Motif-C=C,93,-0.7071067811865475,R2CH-CHO,RCH2-OH,13463-67-7,,,,,O=CC1CC=CCC1.OCCO>>C1=CCC(C2OCCO2)CC1,O=CC1CC=CCC1.OCCO>>C1=CCC(C2OCCO2)CC1,O=CC1CC=CCC1.OCCO,C1=CCC(C2OCCO2)CC1,R2CH-CHO|RCH2-OH -> RCH2-OR || Alkyl-C=C|Any-C=C|Any-Dienophile|Cyclohexene|H-Alkenyl|Motif-C=C,R2CH-CHO|RCH2-OH,"H-Alkenyl,Alkyl-C=C,Any-Dienophile,Motif-C=C,Cyclohexene,Any-C=C,RCH2-OR,R2CH-OR","H-Alkenyl,Alkyl-C=C,Any-Dienophile,Motif-C=C,Cyclohexene,Any-C=C,R2CH-CHO,Alkyl-CHO,Any-CHO,Alkyl-H-acidic","RCH2-OH,Alkyl-OH,Any-OH,H-OR",Alkyl-C=C|Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-C=C|Any-CHO|Any-Dienophile|Any-OH|Cyclohexene|H-Alkenyl|H-OR|Motif-C=C|R2CH-CHO|RCH2-OH,Alkyl-C=C|Any-C=C|Any-Dienophile|Cyclohexene|H-Alkenyl|Motif-C=C|R2CH-OR|RCH2-OR,Alkyl-CHO|Alkyl-H-acidic|Alkyl-OH|Any-CHO|Any-OH|H-OR|R2CH-CHO|RCH2-OH,R2CH-OR|RCH2-OR,Alkyl-C=C|Any-C=C|Any-Dienophile|Cyclohexene|H-Alkenyl|Motif-C=C,False,,,13463-67-7,O2,"[{""name"": ""O2"", ""cas"": ""7782-44-7"", ""role"": ""OXIDANT""}]",[]
